Transaction Date,Posting Date,Transaction ID,Merchant,Category,Amount,Card Number
2023-01-01,2023-01-01,TXN6543670,Walmart,Groceries,38.36,**** **** **** 1514
2023-01-01,2023-01-03,TXN2785277,Exxon,Gas,382.17,**** **** **** 9317
2023-01-01,2023-01-03,TXN5682940,Uber,Travel,167.49,**** **** **** 2137
2023-01-02,2023-01-02,TXN8640615,Health Clinic,Healthcare,425.62,**** **** **** 2193
2023-01-02,2023-01-04,TXN4305700,Comcast,Utilities,262.36,**** **** **** 9821
2023-01-03,2023-01-04,TXN1728977,McDonalds,Dining,424.51,**** **** **** 5333
2023-01-03,2023-01-05,TXN1666754,Chipotle,Dining,204.87,**** **** **** 5033
2023-01-03,2023-01-05,TXN3219824,Uber,Travel,336.14,**** **** **** 4510
2023-01-03,2023-01-05,TXN3484601,AMC Theaters,Entertainment,22.83,**** **** **** 7049
2023-01-04,2023-01-04,TXN1908841,PG&E,Utilities,214.67,**** **** **** 8651
2023-01-04,2023-01-04,TXN2458591,Shell,Gas,115.49,**** **** **** 2679
2023-01-04,2023-01-04,TXN6752576,Spotify,Entertainment,144.47,**** **** **** 4450
2023-01-04,2023-01-06,TXN8321474,PG&E,Utilities,365.63,**** **** **** 6139
2023-01-05,2023-01-06,TXN8159521,Ebay,Online Shopping,308.26,**** **** **** 9270
2023-01-05,2023-01-06,TXN8351517,Chipotle,Dining,187.92,**** **** **** 3584
2023-01-06,2023-01-08,TXN2876932,Health Clinic,Healthcare,354.31,**** **** **** 1158
2023-01-06,2023-01-08,TXN4731818,Pizza Hut,Dining,436.72,**** **** **** 8711
2023-01-07,2023-01-08,TXN4740036,Ebay,Online Shopping,411.17,**** **** **** 4728
2023-01-07,2023-01-08,TXN6049101,Verizon,Utilities,375.33,**** **** **** 3851
2023-01-07,2023-01-09,TXN2548511,Exxon,Gas,246.82,**** **** **** 1832
2023-01-07,2023-01-09,TXN3592974,Airbnb,Travel,55.88,**** **** **** 7658
2023-01-08,2023-01-08,TXN3564251,CVS Pharmacy,Healthcare,379.11,**** **** **** 2796
2023-01-08,2023-01-08,TXN3950888,Walmart,Groceries,390.32,**** **** **** 4585
2023-01-08,2023-01-08,TXN4078418,Airbnb,Travel,227.06,**** **** **** 7912
2023-01-08,2023-01-08,TXN4694634,McDonalds,Dining,15.41,**** **** **** 4770
2023-01-08,2023-01-09,TXN8090293,Shell,Gas,380.61,**** **** **** 3615
2023-01-08,2023-01-10,TXN7073292,Exxon,Gas,294.37,**** **** **** 7543
2023-01-09,2023-01-09,TXN4567281,Airbnb,Travel,438.80,**** **** **** 6155
2023-01-09,2023-01-09,TXN5606980,Exxon,Gas,244.88,**** **** **** 4919
2023-01-09,2023-01-10,TXN1848731,Delta Airlines,Travel,224.35,**** **** **** 2604
2023-01-09,2023-01-11,TXN6229731,Comcast,Utilities,464.81,**** **** **** 4295
2023-01-11,2023-01-12,TXN2714803,Netflix,Entertainment,478.82,**** **** **** 6514
2023-01-12,2023-01-12,TXN2876828,Trader Joes,Groceries,165.46,**** **** **** 1319
2023-01-12,2023-01-13,TXN3871230,Airbnb,Travel,137.15,**** **** **** 2169
2023-01-12,2023-01-13,TXN6038571,McDonalds,Dining,313.46,**** **** **** 3041
2023-01-12,2023-01-14,TXN6555772,Verizon,Utilities,490.67,**** **** **** 9785
2023-01-13,2023-01-13,TXN1156287,Chevron,Gas,161.51,**** **** **** 2188
2023-01-13,2023-01-13,TXN5785687,PG&E,Utilities,463.63,**** **** **** 8454
2023-01-13,2023-01-15,TXN3030113,Ebay,Online Shopping,450.31,**** **** **** 8397
2023-01-13,2023-01-15,TXN6406444,Costco,Groceries,147.02,**** **** **** 8043
2023-01-14,2023-01-14,TXN7003042,Costco,Groceries,185.50,**** **** **** 1653
2023-01-14,2023-01-15,TXN3762152,CVS Pharmacy,Healthcare,433.00,**** **** **** 1960
2023-01-14,2023-01-16,TXN1981186,CVS Pharmacy,Healthcare,99.00,**** **** **** 4566
2023-01-14,2023-01-16,TXN7705062,Airbnb,Travel,349.70,**** **** **** 9099
2023-01-15,2023-01-15,TXN2351868,Shell,Gas,139.50,**** **** **** 6238
2023-01-15,2023-01-16,TXN3846949,Health Clinic,Healthcare,110.78,**** **** **** 8752
2023-01-15,2023-01-17,TXN5449324,Starbucks,Dining,271.13,**** **** **** 9288
2023-01-17,2023-01-18,TXN3135534,PG&E,Utilities,204.19,**** **** **** 5844
2023-01-17,2023-01-18,TXN5476583,Trader Joes,Groceries,361.76,**** **** **** 9797
2023-01-17,2023-01-19,TXN4117625,Netflix,Entertainment,480.59,**** **** **** 2312
2023-01-18,2023-01-20,TXN4684531,Delta Airlines,Travel,233.82,**** **** **** 5422
2023-01-19,2023-01-19,TXN2338687,Starbucks,Dining,332.33,**** **** **** 5741
2023-01-19,2023-01-20,TXN9478454,Walmart,Groceries,51.38,**** **** **** 4811
2023-01-19,2023-01-21,TXN8999183,Trader Joes,Groceries,160.23,**** **** **** 1821
2023-01-20,2023-01-20,TXN6307805,Verizon,Utilities,293.92,**** **** **** 9565
2023-01-20,2023-01-20,TXN8038374,Airbnb,Travel,326.69,**** **** **** 9928
2023-01-20,2023-01-22,TXN5273534,Pizza Hut,Dining,450.25,**** **** **** 4114
2023-01-21,2023-01-21,TXN8852574,Verizon,Utilities,36.45,**** **** **** 7252
2023-01-21,2023-01-22,TXN3342608,Verizon,Utilities,232.13,**** **** **** 5339
2023-01-21,2023-01-22,TXN5394880,Shell,Gas,6.76,**** **** **** 3143
2023-01-21,2023-01-23,TXN3790237,Walmart,Groceries,463.55,**** **** **** 4872
2023-01-22,2023-01-22,TXN2566777,Exxon,Gas,333.61,**** **** **** 6491
2023-01-22,2023-01-23,TXN7730428,Walmart,Groceries,411.79,**** **** **** 6168
2023-01-22,2023-01-24,TXN2833230,Starbucks,Dining,204.30,**** **** **** 6559
2023-01-22,2023-01-24,TXN5437001,Exxon,Gas,56.28,**** **** **** 3200
2023-01-24,2023-01-25,TXN3770370,Chipotle,Dining,68.55,**** **** **** 8787
2023-01-24,2023-01-25,TXN5476257,Verizon,Utilities,432.71,**** **** **** 5065
2023-01-24,2023-01-25,TXN7067228,Pizza Hut,Dining,44.01,**** **** **** 5803
2023-01-24,2023-01-26,TXN4194548,CVS Pharmacy,Healthcare,393.39,**** **** **** 7669
2023-01-25,2023-01-27,TXN8612220,Amazon,Online Shopping,150.28,**** **** **** 3591
2023-01-26,2023-01-28,TXN8658158,CVS Pharmacy,Healthcare,280.92,**** **** **** 2988
2023-01-27,2023-01-27,TXN1409790,Shell,Gas,404.25,**** **** **** 3414
2023-01-27,2023-01-29,TXN1131249,Exxon,Gas,492.01,**** **** **** 9666
2023-01-27,2023-01-29,TXN8550917,CVS Pharmacy,Healthcare,373.11,**** **** **** 8777
2023-01-28,2023-01-28,TXN3728882,Pizza Hut,Dining,142.60,**** **** **** 6977
2023-01-28,2023-01-30,TXN3564217,Exxon,Gas,256.29,**** **** **** 4258
2023-01-30,2023-01-30,TXN4009172,Netflix,Entertainment,441.30,**** **** **** 1406
2023-01-30,2023-01-31,TXN2437026,Shell,Gas,33.67,**** **** **** 2290
2023-01-30,2023-01-31,TXN5456272,Airbnb,Travel,359.51,**** **** **** 4910
2023-01-31,2023-01-31,TXN1641849,McDonalds,Dining,93.39,**** **** **** 5349
2023-02-02,2023-02-02,TXN2194198,Exxon,Gas,144.95,**** **** **** 8438
2023-02-02,2023-02-02,TXN2721135,Exxon,Gas,472.32,**** **** **** 9042
2023-02-02,2023-02-03,TXN9250138,CVS Pharmacy,Healthcare,411.95,**** **** **** 7565
2023-02-03,2023-02-03,TXN8367772,Spotify,Entertainment,299.55,**** **** **** 5728
2023-02-03,2023-02-05,TXN2429098,Walmart,Groceries,78.85,**** **** **** 5978
2023-02-04,2023-02-05,TXN9396529,Exxon,Gas,204.24,**** **** **** 5460
2023-02-04,2023-02-06,TXN3386328,Airbnb,Travel,78.75,**** **** **** 5352
2023-02-05,2023-02-05,TXN2077581,Verizon,Utilities,80.64,**** **** **** 4505
2023-02-06,2023-02-08,TXN8885465,Verizon,Utilities,408.05,**** **** **** 2494
2023-02-08,2023-02-08,TXN9767312,Verizon,Utilities,300.08,**** **** **** 4697
2023-02-08,2023-02-09,TXN8939993,Uber,Travel,333.66,**** **** **** 7046
2023-02-10,2023-02-10,TXN7654757,Costco,Groceries,290.02,**** **** **** 7149
2023-02-11,2023-02-11,TXN5638893,Netflix,Entertainment,112.11,**** **** **** 8933
2023-02-11,2023-02-11,TXN5668371,Walgreens,Healthcare,172.06,**** **** **** 7211
2023-02-12,2023-02-12,TXN4344717,Starbucks,Dining,378.35,**** **** **** 5051
2023-02-12,2023-02-12,TXN5602180,Shell,Gas,355.47,**** **** **** 3073
2023-02-13,2023-02-14,TXN6123430,Walgreens,Healthcare,430.78,**** **** **** 8025
2023-02-14,2023-02-15,TXN4470105,Etsy,Online Shopping,235.63,**** **** **** 2020
2023-02-14,2023-02-15,TXN9753457,Health Clinic,Healthcare,80.73,**** **** **** 3885
2023-02-15,2023-02-17,TXN3747534,Chevron,Gas,88.06,**** **** **** 2876
2023-02-16,2023-02-16,TXN1170307,Ebay,Online Shopping,173.47,**** **** **** 5526
2023-02-16,2023-02-16,TXN4700025,Ebay,Online Shopping,377.97,**** **** **** 7865
2023-02-16,2023-02-16,TXN6639317,Chevron,Gas,245.39,**** **** **** 7371
2023-02-17,2023-02-17,TXN5031966,Chipotle,Dining,361.44,**** **** **** 9004
2023-02-17,2023-02-19,TXN2770648,Amazon,Online Shopping,425.54,**** **** **** 9031
2023-02-18,2023-02-18,TXN5886520,Netflix,Entertainment,207.22,**** **** **** 8699
2023-02-18,2023-02-19,TXN6407658,CVS Pharmacy,Healthcare,301.03,**** **** **** 8078
2023-02-18,2023-02-20,TXN6902401,Ebay,Online Shopping,498.33,**** **** **** 6419
